Year,State,CD #,Total Congressional Votes,Congressional D Votes,Congressional R Votes
2022,NC,9,232655,101202,131453
2022,ND,AL,238586,0,148399
2022,NE,1,223165,93929,129236
2022,NE,2,219470,106807,112663
2022,NE,3,220552,34836,172700
2022,NH,1,309962,167391,142229
2022,NH,2,307584,171636,135579
2022,NJ,1,223884,139559,78794
2022,NJ,10,129707,100710,25993
2022,NJ,11,273664,161436,109952
2022,NJ,12,198227,125127,71175
2022,NJ,2,236484,94522,139217
2022,NJ,3,271376,150498,118415
2022,NJ,4,258962,81233,173288
2022,NJ,5,265943,145559,117873
2022,NJ,6,184919,106238,75839
2022,NJ,7,310093,150701,159392
2022,NJ,8,106473,78382,24957
2022,NJ,9,149984,82457,65365
2022,NM,1,280671,156462,124151
2022,NM,2,192673,96986,95636
2022,NM,3,230782,134217,96565
2022,NV,1,224349,115700,103115
2022,NV,2,310498,117371,185467
2022,NV,3,252169,131086,121083
2022,NV,4,222487,116617,105870
2022,NY,1,327052,141907,177040
2022,NY,10,202131,160582,29058
2022,NY,11,191083,71801,115992
2022,NY,12,251078,200890,44173
2022,NY,13,142795,116589,0
2022,NY,14,122582,82453,31935
2022,NY,15,101732,76406,15882
2022,NY,16,221597,133567,74156
2022,NY,17,291308,141730,143550
2022,NY,18,272617,135245,131653
2022,NY,19,292577,141509,146004
2022,NY,2,256117,97774,151178
2022,NY,20,295722,160420,130869
2022,NY,21,289617,112645,168579
2022,NY,22,273981,132913,135544
2022,NY,23,306126,104114,192694
2022,NY,24,285525,95028,182054
2022,NY,25,284990,152022,130190
2022,NY,26,251300,156883,88339
2022,NY,3,279772,125404,145824
2022,NY,4,278548,130871,140622
2022,NY,5,144316,104396,34407
2022,NY,6,137692,85049,47935
2022,NY,7,153557,119473,28597
2022,NY,8,144476,99079,39060
2022,NY,9,167533,116970,0
2022,OH,1,296474,156416,140058
2022,OH,10,272961,104634,168327
2022,OH,11,215710,167722,47988
2022,OH,12,276237,84893,191344
2022,OH,13,284409,149816,134593
2022,OH,14,297028,113639,183389
2022,OH,15,251251,108139,143112
2022,OH,2,257862,65745,192117
2022,OH,3,258797,182324,76455
2022,OH,4,290156,89383,200773
2022,OH,5,279937,92634,187303
2022,OH,6,280383,90500,189883
2022,OH,7,303573,135485,168002
2022,OH,8,278916,98629,180287
2022,OH,9,266017,150655,115362
2022,OK,1,233495,80974,142800
2022,OK,2,231672,54194,167843
2022,OK,3,197772,50354,147418
2022,OK,4,224546,74667,149879
2022,OK,5,258826,96799,152699
2022,OR,1,310243,210682,99042
2022,OR,2,308676,99882,208369
2022,OR,3,303334,212119,79766
2022,OR,4,339077,171372,146055
2022,OR,5,351233,171514,178813
2022,OR,6,294377,147156,139946
2022,PA,1,367380,165809,201571
2022,PA,10,314546,145215,169331
2022,PA,11,316826,121835,194991
2022,PA,12,328620,184674,143946
2022,PA,13,260345,0,260345
2022,PA,14,230865,0,230865
2022,PA,15,305146,91729,213417
2022,PA,16,320989,130443,190546
2022,PA,17,362628,193615,169013
2022,PA,2,186683,141229,45454
2022,PA,3,263935,251115,0
2022,PA,4,366785,224799,141986
2022,PA,5,315186,205128,110058
2022,PA,6,326483,190386,136097
2022,PA,7,296891,151364,145527
2022,PA,8,286886,146956,139930
2022,PA,9,301807,92622,209185
2022,RI,1,156734,100318,56055
2022,RI,2,201089,101432,93969
2022,SC,1,272681,115796,153757
2022,SC,2,246126,98081,147699
2022,SC,3,194569,0,189971
2022,SC,4,182365,0,165607
2022,SC,5,241707,83299,154725
2022,SC,6,211028,130923,79879
2022,SC,7,253865,89030,164440
2022,SD,AL,327841,0,253821
2022,TN,1,188003,37049,147241
2022,TN,2,207762,66673,141089
2022,TN,3,199830,60334,136639
2022,TN,4,173437,44648,122401
