State,CD #,Year,Reock,Rating,Polsby-Popper,Rating.1,KIWYSI Score,CD 2022 Total Votes,CD 2022 D Votes,CD 2022 R Votes,CD 2024 Total Votes,CD 2024 D Votes,CD 2024 R Votes
FL,1,2022,0.51,100.0,0.46,89.0,86.0,290816.0,93467.0,197349.0,415088.0,140980.0,274108.0
FL,2,2022,0.42,68.0,0.47,91.0,80.0,301389.0,121153.0,180236.0,402280.0,154323.0,247957.0
FL,3,2022,0.6,100.0,0.51,100.0,95.0,284893.0,103382.0,178101.0,391457.0,150283.0,241174.0
FL,4,2022,0.41,64.0,0.33,57.0,55.0,274103.0,108402.0,165696.0,388349.0,165912.0,222364.0
FL,5,2022,0.58,100.0,0.54,100.0,91.0,1.0,0.0,1.0,424064.0,156570.0,267471.0
FL,6,2022,0.72,100.0,0.49,98.0,95.0,300755.0,0.0,226548.0,427474.0,143050.0,284414.0
FL,7,2022,0.45,81.0,0.41,77.0,71.0,304055.0,126079.0,177966.0,413854.0,179917.0,233937.0
FL,8,2022,0.35,38.0,0.47,91.0,72.0,342208.0,120080.0,222128.0,450448.0,170096.0,280352.0
FL,9,2022,0.49,96.0,0.48,95.0,81.0,202368.0,108541.0,93827.0,324273.0,178785.0,138076.0
FL,10,2022,0.38,50.0,0.36,66.0,62.0,199910.0,117955.0,78844.0,290915.0,181455.0,109460.0
FL,11,2022,0.52,100.0,0.36,65.0,66.0,326609.0,115647.0,205995.0,446003.0,176726.0,269277.0
FL,12,2022,0.43,70.0,0.38,70.0,63.0,321995.0,95390.0,226601.0,431436.0,124949.0,306487.0
FL,13,2022,0.55,100.0,0.6,100.0,100.0,341546.0,153876.0,181487.0,411593.0,185930.0,225636.0
FL,14,2022,0.53,100.0,0.49,97.0,82.0,263164.0,149737.0,113427.0,350185.0,199423.0,145643.0
FL,15,2022,0.53,100.0,0.57,100.0,97.0,248054.0,102835.0,145219.0,347695.0,152361.0,195334.0
FL,16,2022,0.43,71.0,0.45,87.0,66.0,305358.0,115575.0,189762.0,416141.0,168625.0,247516.0
FL,17,2022,0.27,8.0,0.39,72.0,59.0,348506.0,123798.0,222483.0,455921.0,164566.0,291347.0
FL,18,2022,0.45,81.0,0.44,84.0,71.0,224234.0,0.0,167429.0,344807.0,119637.0,225170.0
FL,19,2022,0.34,35.0,0.39,72.0,59.0,313274.0,100226.0,213035.0,415746.0,140038.0,275708.0
FL,20,2022,0.5,100.0,0.28,45.0,55.0,188366.0,136215.0,52151.0,1.0,1.0,0.0
FL,21,2022,0.5,100.0,0.5,100.0,79.0,328505.0,119891.0,208614.0,448766.0,171312.0,277435.0
FL,22,2022,0.45,82.0,0.42,81.0,66.0,272204.0,150010.0,122194.0,366856.0,201608.0,165248.0
FL,23,2022,0.51,100.0,0.29,49.0,57.0,279049.0,143951.0,130681.0,374317.0,196311.0,178006.0
FL,24,2022,0.5,98.0,0.49,97.0,86.0,185891.0,133442.0,52449.0,285588.0,194874.0,90692.0
FL,25,2022,0.4,58.0,0.38,69.0,68.0,234352.0,129113.0,105239.0,343191.0,186942.0,156208.0
FL,26,2022,0.27,8.0,0.32,54.0,50.0,202108.0,58868.0,143240.0,306271.0,89072.0,217199.0
FL,27,2022,0.71,100.0,0.73,100.0,100.0,237442.0,101404.0,136038.0,329867.0,130708.0,199159.0
FL,28,2022,0.2,0.0,0.23,33.0,23.0,211150.0,76665.0,134457.0,325337.0,115280.0,210057.0
FL,1,2026,0.51,100.0,0.46,89.0,86.0,,,,,,
FL,2,2026,0.42,68.0,0.47,91.0,80.0,,,,,,
FL,3,2026,0.6,100.0,0.51,100.0,95.0,,,,,,
FL,4,2026,0.41,64.0,0.33,57.0,55.0,,,,,,
FL,5,2026,0.58,100.0,0.54,100.0,91.0,,,,,,
FL,6,2026,0.72,100.0,0.49,98.0,95.0,,,,,,
FL,7,2026,0.45,81.0,0.41,77.0,71.0,,,,,,
FL,8,2026,0.44,78.0,0.45,86.0,66.0,,,,,,
FL,9,2026,0.49,98.0,0.37,67.0,62.0,,,,,,
FL,10,2026,0.44,77.0,0.36,65.0,65.0,,,,,,
FL,11,2026,0.39,57.0,0.33,57.0,58.0,,,,,,
FL,12,2026,0.39,55.0,0.4,75.0,63.0,,,,,,
FL,13,2026,0.5,100.0,0.56,100.0,94.0,,,,,,
FL,14,2026,0.5,100.0,0.44,84.0,77.0,,,,,,
FL,15,2026,0.32,28.0,0.26,39.0,37.0,,,,,,
FL,16,2026,0.37,48.0,0.37,67.0,63.0,,,,,,
FL,17,2026,0.25,2.0,0.32,54.0,45.0,,,,,,
FL,18,2026,0.61,100.0,0.41,78.0,82.0,,,,,,
FL,19,2026,0.45,80.0,0.39,71.0,67.0,,,,,,
FL,20,2026,0.49,94.0,0.42,79.0,73.0,,,,,,
FL,21,2026,0.49,98.0,0.51,100.0,80.0,,,,,,
FL,22,2026,0.45,81.0,0.4,74.0,69.0,,,,,,
FL,23,2026,0.51,100.0,0.48,94.0,86.0,,,,,,
FL,24,2026,0.41,65.0,0.32,56.0,61.0,,,,,,
FL,25,2026,0.18,0.0,0.17,17.0,28.0,,,,,,
FL,26,2026,0.5,100.0,0.53,100.0,95.0,,,,,,
FL,27,2026,0.67,100.0,0.69,100.0,100.0,,,,,,
FL,28,2026,0.2,0.0,0.23,34.0,23.0,,,,,,
GA,1,2022,0.5,100.0,0.29,49.0,57.0,263965.0,107837.0,156128.0,,,
GA,2,2022,0.5,99.0,0.27,42.0,56.0,241340.0,132675.0,108665.0,,,
GA,3,2022,0.47,89.0,0.28,45.0,57.0,310581.0,97057.0,213524.0,,,
