State,CD #,Year,Reock,Rating,Polsby-Popper,Rating,KIWYSI Score
ID,1,2022,0.29,14.00,0.20,24.00,36.00
ID,2,2022,0.51,100.00,0.31,53.00,59.00
IL,1,2022,0.26,6.00,0.13,8.00,11.00
IL,2,2022,0.41,65.00,0.29,48.00,47.00
IL,3,2022,0.15,0.00,0.08,0.00,1.00
IL,4,2022,0.33,31.00,0.11,4.00,16.00
IL,5,2022,0.12,0.00,0.07,0.00,1.00
IL,6,2022,0.38,51.00,0.16,15.00,27.00
IL,7,2022,0.23,0.00,0.12,4.00,7.00
IL,8,2022,0.24,0.00,0.11,2.00,15.00
IL,9,2022,0.10,0.00,0.10,0.00,1.00
IL,10,2022,0.25,0.00,0.25,36.00,37.00
IL,11,2022,0.25,2.00,0.14,11.00,10.00
IL,12,2022,0.48,91.00,0.26,40.00,51.00
IL,13,2022,0.11,0.00,0.10,1.00,1.00
IL,14,2022,0.35,40.00,0.27,43.00,42.00
IL,15,2022,0.36,42.00,0.12,6.00,24.00
IL,16,2022,0.33,32.00,0.09,0.00,15.00
IL,17,2022,0.24,0.00,0.08,0.00,1.00
IN,1,2022,0.46,85.00,0.58,100.00,96.00
IN,2,2022,0.63,100.00,0.52,100.00,94.00
IN,3,2022,0.49,95.00,0.58,100.00,95.00
IN,4,2022,0.43,73.00,0.43,84.00,71.00
IN,5,2022,0.49,95.00,0.53,100.00,91.00
IN,6,2022,0.41,64.00,0.41,78.00,67.00
IN,7,2022,0.51,100.00,0.67,100.00,100.00
IN,8,2022,0.42,66.00,0.22,30.00,40.00
IN,9,2022,0.47,87.00,0.34,61.00,58.00
KS,1,2022,0.32,28.00,0.33,58.00,61.00
KS,2,2022,0.44,77.00,0.15,12.00,26.00
KS,3,2022,0.40,61.00,0.47,93.00,70.00
KS,4,2022,0.34,37.00,0.42,80.00,82.00
KY,1,2022,0.15,0.00,0.09,0.00,3.00
KY,2,2022,0.49,96.00,0.22,31.00,49.00
KY,3,2022,0.36,45.00,0.42,81.00,66.00
KY,4,2022,0.19,0.00,0.15,12.00,11.00
KY,5,2022,0.40,58.00,0.27,43.00,53.00
KY,6,2022,0.44,75.00,0.25,38.00,52.00
LA,1,2022,0.46,85.00,0.16,15.00,35.00
LA,2,2022,0.15,0.00,0.06,0.00,1.00
LA,3,2022,0.33,30.00,0.28,45.00,55.00
LA,4,2022,0.34,38.00,0.16,14.00,25.00
LA,5,2022,0.36,43.00,0.12,6.00,20.00
LA,6,2022,0.45,81.00,0.07,0.00,20.00
LA,1,2024,0.49,95.00,0.15,14.00,33.00
LA,2,2024,0.20,0.00,0.11,2.00,12.00
LA,3,2024,0.25,0.00,0.18,20.00,33.00
LA,4,2024,0.41,63.00,0.08,0.00,29.00
LA,5,2024,0.32,30.00,0.08,0.00,8.00
LA,6,2024,0.12,0.00,0.05,0.00,1.00
