State,CD #,Year,Reock,Rating,Polsby-Popper,Rating.1,KIWYSI Score,CD 2022 Total Votes,CD 2022 D Votes,CD 2022 R Votes,CD 2024 Total Votes,CD 2024 D Votes,CD 2024 R Votes,Voting Age Total Population (VAP),White VAP,Hispanic VAP,Black VAP,Asian VAP,Native American VAP,Pacific VAP,Total Population,White Population,Hispanic Population,Black Population,Asian Population,Native American Population,Pacific Population,Pres 2020 Total Votes,Pres 2020 D Votes,Pres 2020 R Votes,Pres 2024 Total Votes,Pres 2024 D Votes,Pres 2024 R Votes
CA,13,2022,0.39,56,0.23,32,47,133556,66496,67060,210921,105554,105367,544744,140851,330757,21852,42536,27199,4066,760065,168166,497280,31089,59163,38192,5795,230922,125352,100331,218041,100315,111921
CA,14,2022,0.34,34,0.31,53,53,198464,137612,60852,276388,187263,89125,592734,166904,134915,38914,241806,15190,11206,760065,194317,188159,51796,317026,19768,14773,334446,239712,87676,290733,191247,88243
CA,15,2022,0.26,4,0.36,65,59,194874,194874,0,289544,211648,77896,609967,184078,150342,22421,241550,13137,10719,760066,216763,201867,28846,300594,16686,14175,351206,272983,71576,305556,220581,74238
CA,16,2022,0.33,32,0.19,22,27,241007,241007,0,308476,308476,0,600512,277950,104250,16618,192488,12121,4335,760067,330179,145361,22513,252667,15410,5802,382014,288155,85572,343983,249290,82378
CA,17,2022,0.49,95,0.25,38,48,180253,127853,52400,254877,172462,82415,603500,137880,90956,16225,353112,9725,4758,760066,158606,124180,21732,450797,12855,6394,301908,219544,76383,264215,176367,76220
CA,18,2022,0.27,10,0.17,17,34,151513,99776,51737,228506,147674,80832,570234,121456,346468,17122,81490,28045,4005,760065,139755,497849,23170,101362,36024,5476,268205,190267,72132,236193,149243,79554
CA,19,2022,0.15,0,0.1,0,1,283310,194494,88816,364320,252458,111862,609585,315206,133987,19782,127560,18784,5082,760067,366442,187658,26816,165500,23670,6972,412422,283131,119846,376406,246335,116873
CA,20,2022,0.35,41,0.1,0,16,228781,74934,153847,288788,0,288788,569445,304044,171557,25129,51274,25372,2892,760067,376499,256296,37138,71300,35688,4235,349337,127263,214222,328291,110593,210143
CA,21,2022,0.24,0,0.19,23,35,125647,68074,57573,195531,102798,92733,531422,112409,322669,30845,59860,22888,1987,760065,135852,488680,48616,86660,34579,2986,226866,134095,88103,199962,101183,93534
CA,22,2022,0.49,94,0.31,53,58,102856,49862,52994,167507,78023,89484,543049,101709,376448,31488,27527,21921,1958,760067,118980,560774,41908,38279,35188,2627,188276,104009,79735,173170,79316,89307
